Sl No,Item,Qty Value,Qty Unit,Needed,Price
240,Toor Dal,5,kg,Y,650
241,Toothbrush,4,pieces,N,60
242,Toothpaste,200,g,Y,165
243,Turmeric Powder,500,g,N,150
244,Urad Dal (Split),2,kg,Y,235
245,Vanaspati,500,g,N,80
246,Vermicelli,1,kg,Y,88
247,Vinegar,500,ml,Y,130
248,Walnuts (Akhrot),250,g,N,325
249,Washing Soap Bar,4,pieces,Y,100
250,Whole Chana (Brown),2,kg,Y,300
251,Whole Red Chillies (Dry),500,g,Y,100
252,Yeast (Dry Active),50,g,Y,100
